Form ID,Lobbyist/Registrant,Organization/Firm,Employer,Event Date,Total Cost,Groups Invited,Sponsors
E001575,"Johansen, Michael Vernon",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,01/28/26,8196.55,Senate Finance Committee; Senate Judicial Proceedings Committee,"Rifkin Weiner Livingston LLC; 1/St Racing MD LLC; Alterwood Health; Ashley Inc.; Behavioral Framework; Better You Better Me; Brewers Association of Maryland; Brown Advisory; Cable Telecommunications of MD, DE, & DC; Catalis; Celebree School; Children's National Health System; Chimes; Colonial Pipeline; Corebridge Financial; Curio Wellness; DentaQuest; Education Affiliates/Fortis College; Empower; Enterprise ; Envirotest ; FedEx Corporation; Food & Friends Inc.; Google LLC; H&R Block; Hims & Hers Health; Maryland Auto Dealers Assoc.; Maryland Distillers Guild; Maryland Physicians Care; Maryland Realtors; Maryland Wineries Assoc.; Maximus; Meta Platforms Inc.; Nareit; Pharmaceutical Care Management Assoc of MDiation; Premimum Cigar Retailers Assoc; SCI ; Sheppard Pratt Health System; Story of Maryland; TVI Savers; UPMC Western Maryland; Washington Area New Auto Dealers Assoc"
E001574,"Johansen, Michael Vernon",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,01/27/26,8357.47,"Senate Budget and Taxation Committee; Senate Education, Energy, and the Environment Committee (formerly Senate Education Health and Environmental Affairs Committee)",Rifkin Weiner Livingston LLC; 1/St Racing MD LLC; Allegany County Gov; Alterwood Health; ASC Engineered Solutions; Ashley Addiction Treatment; Baltimore Streetcar Museum; Baltimore Symphony Orchestra; Behavioral Framework; Berkshire Hathaway ; Brown Advisory; Cable Telecomm of MD DE DC; Cal Ripken Sr Foundation; Canton Group; Carasoft; CBAC Gaming; Celebree School; Chesapeake Bay Outward Bound School; Chesapeake Shakespeare Co; Chimes; Concerto Renal Services; Enterprise; Food & Friends Inc.; Friends of Patapsco Valley State Park; H&R Block; Helping Up Mission; Horizon Land Company; Humanim; JMI Equity; Land Preservation Trust; Light & Wonder; Maryland Auto Dealers Assoc.; Maryland Physicians Care; Maryland Realtors; Maryland Tech Council; Mount Vernon Place Conservancy; NaphCare Inc.; PGA of America; Service Coordination Inc.; Sheppard Pratt Health System; Skyline Technology Solution; Solar Landscape; Unrivaled Sports; UPMC Western Maryland; Washington Area New Automobile Dealers; Waste Management
E001573,"Johansen, Michael Vernon",Rifkin Weiner Livingston LLC,Baltimore Symphony Orchestra,01/20/26,1272.4,Baltimore City Delegation; House Appropriations Committee; Montgomery County Delegation; Senate Budget and Taxation Committee,Baltimore Symphony Orchestra
E001572,"Johansen, Michael Vernon",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,01/14/26,17118.54,General Assembly,"Rifkin Weiner Livingston LLC; 1/St Racing MD LLC; Alterwood Health; Board of County Commissioners of Allegany Co; ASC Engineered Solutions; Ashley Addiction Treatment; Baltimore Streetcar Museum; Behavioral Framework; Berkshire Hathaway Energy; Better You, Better Me, LLC; Brewers Association of Maryland; Brown Advisory; Baltimore Symphony Orchestra; Cable Telecomm Assoc. MD, DE, DC; Cal Ripken, Sr. Foundation; Canton Group, The; Carahsoft Technology; Catalis; CBAC Gaming; Celebree School; Chesapeake Bay Outward Bound School; Chesapeake Shakespeare Company; Children’s National Health System; Chimes ; Colonial Pipeline ; Concerto Renal Services; Coppin State University Development Foundation; Corebridge Financial Group; Curio Wellness; DentaQuest; Education Affiliates; Empower; Enterprise; Envirotest Systems; FedEx Corporation; Food & Friends Inc.; Friends of Patapsco Valley State Park; Google LLC and its Affiliates; Helping Up Mission; Hims, Inc.; Horizon Land Company; H&R Block Management, LLC; Humanim, Inc.; JMI Equity; Land Preservation Trust; Light & Wonder; Maryland Auto Dealers Association; Maryland Distillers Guild; Maryland REALTORS; Maryland Wineries Association; Maryland Physicians Care MCO; Maximus; Meta Platforms, Inc.; Mount Vernon Place Conservancy; MTX Group, Inc.; Nareit; Pharmaceutical Care Mgmt. Assoc. PCMA; PGA of America; Premium Cigar Retailers Association of MD; SCI Management; Scientific Games, LLC; Service Coordination Inc.; Sheppard Pratt Health System; Skyline Technology Solutions; Solar Landscape; Story of Maryland, LLC; Technology Advancement Center ; TVI, Inc. (Savers); Unrivaled Sports; UPMC Western Maryland; Washington Area New Auto Dealers Assoc.; Waste Management of Maryland"
E001585,"Jones, Lisa ",Harris Jones & Malone,"Harris Jones & Malone, LLC",01/20/26,8749.46,General Assembly,"Harris Jones & Malone, LLC; Capital Strategies"
E001591,"Jordan, Lisae C","Lisae C Jordan, Esquire",Maryland Coalition Against Sexual Assault,01/22/26,5989.0,General Assembly,"Maryland Coalition Against Sexual Assault; Maryland NOW; Alice Wilkerson; For All Seasons, Beth Anne Dorman; Harris, Jones & Malone; For All Seasons; Luanne McKenna; University of Maryland Medical Center; Fresh Oil Counseling Services; Safe Exit Initiative; Women's Law Center of Maryland ; Public Policy Partners; Delegate Kris Fair; National Coalition for Sexual Freedom"
E001751,"Kauffman, Danna L","Schwartz, Metz, Wise & Kauffman, P.A.","Maryland and District of Columbia Society of Clinical Oncology, Inc.",02/25/26,8373.41,Senate Finance Committee; House Health Committee,"Maryland and District of Columbia Society of Clinical Oncology, Inc."
E001554,"Kauffman, Danna L","Schwartz, Metz, Wise & Kauffman, P.A.",LifeSpan Network,01/28/26,6777.1,General Assembly,"LifeSpan Network; Maryland Association For Medical Adult DayCare Inc., dba MD-Mads; Maryland-National Capital Homecare Association; Hospice & Palliative Care Network of Maryland"
E001556,"Kauffman, Danna L","Schwartz, Metz, Wise & Kauffman, P.A.",Maryland Chapter of the American College of Emergency Physicians,01/28/26,4131.86,General Assembly,Maryland Chapter of the American College of Emergency Physicians
E001710,"Kerr, Caitlin Nichole",The Nature Conservancy,"Nature Conservancy, The",02/19/26,2320.31,"House Environment and Transportation Committee; Senate Budget and Taxation Committee; Senate Education, Energy, and the Environment Committee (formerly Senate Education Health and Environmental Affairs Committee)","Nature Conservancy, The; Gally Public Affairs"
