Form ID,Lobbyist/Registrant,Organization/Firm,Employer,Event Date,Total Cost,Groups Invited,Sponsors
E001261,"Johansen, Michael Vernon",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,01/08/25,9526,General Assembly,"Rifkin Weiner Livingston LLC; 1/St Racing MD LLC; Allegany County Gov; Ashley Inc.; Baltimore Symphony Orchestra; Berkshire Hathaway Energy; Brewers Association of Maryland; Brown Advisory; Cable Telecommunications of MD, DE, & DC; Canton Group; CBAC Gaming; Celebree School; Chesapeake Shakespeare Company; Children's National Health System; Colonial Pipeline; Corebridge Financial Group; Curio Wellness; DentaQuest; Education Affiliates; Enterprise ; Envirotest ; Fair Hill Condominium Assoc.; FedEx; Food & Friends Inc.; Friends Patapsco Valley State Park; Gaudenzia; H&R Block ; Hims Inc.; Horizon Land; Humanim Inc; JMI Equity; Light & Wonder; Maryland Academy of Pediatric Dentistry; Maryland Automobile Dealers Association; Maryland Distillers; Maryland Physicians Care MCO; Maryland REALTORS; Maryland Tech Council; Maryland Wineries Association; Maximus; Medallia; Meta Platforms Inc.; MTX Group; NaphCare, Inc.; Nareit; PGA of America; Pharmaceutical Care Mgmt -PCMA; Pepco; Premium Cigar Retailers Assoc of MD; Real Time Medical Systems; Scientific Games LLC; Sheppard Pratt Health Systems; Skyline Technology Solutions; Story of Maryland; UPMC Western Maryland; Washington Area New Auto Dealers Assoc; Waste Management of Maryland; Xcaliber"
E001213,"Sublett, Jenna Massoni",Cornerstone Government Affairs,Cornerstone Government Affairs,04/07/25,9493.96,General Assembly,Cornerstone Government Affairs
E001395,"White, Josh ",KO Public Affairs,Pharmaceutical Research & Manufacturers of America,02/05/25,9327.67,House Health and Government Operations Committee; Senate Finance Committee,Pharmaceutical Research & Manufacturers of America; Glaxo Smith Kline; Merck; BMS; Gilead; Novartis; Johnson & Johnson; Amgen; Neurocrine; Incyte; Eli Lilly; Pfizer; BioMarin; Otsuka
E001507,"Bevan-Dangel, Jennifer ",Economic Action Maryland Fund,Maryland Consumer Rights Coalition DBA Economic Action Maryland,09/25/25,9000,General Assembly,Maryland Consumer Rights Coalition DBA Economic Action Maryland; Economic Action Maryland
E001409,"Sublett, Jenna Massoni",Cornerstone Government Affairs,Cornerstone Government Affairs,04/02/25,8942.8,House Appropriations Committee; Senate Budget and Taxation Committee,Cornerstone Government Affairs
E001359,"Rehr, Rebecca ",Maryland League of Conservation Voters,Maryland League of Conservation Voters,02/05/25,8924.05,General Assembly,Maryland League of Conservation Voters
E001247,"Evans, Gerard ","Evans & Associates, LLC","Evans & Associates, LLC",01/08/25,8887.73,General Assembly,"Evans & Associates, LLC"
E001214,"Ifekauche, Delora Sanchez",Cornerstone Government Affairs,Johns Hopkins,01/28/25,8805.45,House Health and Government Operations Committee,Johns Hopkins
E001314,"Bohle, Matt ",Rifkin Weiner Livingston LLC,Brewers Association of Maryland,03/19/25,8790,General Assembly,Brewers Association of Maryland; Maryland Distillers Guild; Maryland Wineries Association
E001270,"Johansen, Michael Vernon",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,02/12/25,8730.84,Prince George 's County Delegation,"Rifkin Weiner Livingston LLC; 1/St Racing MD LLC; Board of County Commissioners Allegany County Gov; Baltimore Symphony Orchestra; Berkshire Hathaway; Cable Telecommunications of MD, DE, DC; CBAC Gaming; Celebree School; Children's National Health System; Curio Wellness; Educational Affiliates; Enterprise; Envirotest Systems; Gaudenzia; H&R Block; Humanim; Maryland Auto Dealers Association; Maryland Physicians Care ; Maryland REALTORS; Nareit; Pharmaceutical Care Mgmt Assoc. PCMA; Pepco Holdings; Premimum Cigar Retailers Association of Md; Real Time Medical Systems ; Sheppard Pratt Health Systems; Story of Maryland; ThinkBig Networks ; UPMC Western Maryland; Washington Area New Auto Dealers ; Xcaliber International"
E001234,"Reed, Dytonia ",Baltimore Gas and Electric,Baltimore Gas and Electric Company,12/04/24,8630.35,General Assembly,"Baltimore Gas and Electric Company; Pepco Holdings, Inc."
E001242,"Jones, Lisa ","Harris Jones & Malone, LLC","Harris Jones & Malone, LLC",01/14/25,8594.77,General Assembly,"Harris Jones & Malone, LLC; Capital Strategies"
E001273,"Johansen, Michael Vernon",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,02/19/25,8549.94,House Appropriations Committee; House Judiciary Committee,Rifkin Weiner Livingston LLC; 1/St Racing MD LLC; Allegany County Gov; Baltimore Symphony Orchestra; Brewers Association of MD ; Catalis; CBAC Gaming; Chesapeake Shakespeare Company; Children's National Health System; Corebridge Financial Group; DentaQuest; Education Affiliates; Enterprise ; Fair Hill Condominium Assoc.; Food & Friends; Friends of Patapsco Valley State Park; Gaudenzia; Humanim; Maryland Academy of Pediatric Dentists; Maryland Automobile Dealers Assoc.; Maryland Physicians Care ; Maryland Tech Council; Mount Vernon Place Conservancy; PGA of America; Sheppard Pratt Health Systems; Skyline Technology Solutions; UPMC Western Maryland; Washington Area New Auto Dealers
E001398,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Maryland Tourism Coalition,02/14/25,8306.03,General Assembly,"Maryland Tourism Coalition; Allegany County Tourism; Baltimore Convention Center; Baltimore Tourism Association; Destination Southern Maryland; Electric Motor Repair Company; Kent Island Foundation; Live! Casino and Hotel; Maryland Association of Campgrounds; Maryland Horse Breeders Assocation; Maryland Horse Industy Board; Maryland Hotel Lodging Association; Maryland SoccerPlex; National Harbor; NCM - America's Movie Network; Ocean City Department of Tourism; Ocean City Hotel-Motel-Restaurant Association; Phillips Foods; Residence Inn Ocean City; Today Media Custom Communications; Visit Annapolis & Anne Arundel County; Visit Baltimore; Visit Frederick; Washington Post; Wicomico County Recreation Parks, Tourism"
E001393,"Kerr, Caitlin Nichole",The Nature Conservancy,"Nature Conservancy, The",02/27/25,8272.44,House Environment and Transportation Committee,"Nature Conservancy, The; Gally Public Affairs"
E001440,"Moore, Tonaeya ",CASH Campaign of Maryland,CASH Campaign of Maryland,03/10/25,8262.52,Baltimore City Delegation; Baltimore County Delegation,CASH Campaign of Maryland; SECU
E001301,"Murray, Rory ",Providence Strategies,MD & DC Credit Union Association,02/04/25,8208.54,General Assembly,MD & DC Credit Union Association
E001268,"Johansen, Michael Vernon",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,01/29/25,7804.84,"Senate Education, Energy, and the Environment Committee (formerly Senate Education Health and Environmental Affairs Committee); Senate Finance Committee","Rifkin Weiner Livingston LLC; 1/St Racing MD LLC; ASC Engineered Solutions; Ashley Inc.; Baltimore Symphony Orchestra; Berkshire Hathaway Energy; Brewers Association of Maryland; Cable Telecommunication of Maryland; Celebree School; Children's National Health System; Colonial Pipeline; Corebridge Financial Group; Curio Wellness; Education Affiliates; Enterprise; FedEx Corporation; H&R Block; Helping Up Mission; Hims Inc.; Maryland Academy of Pediatric Dentists; Maryland Automobile Dealers Association; Maryland Distillers Guild; Maryland Physicians Care ; Maryland Realtors; Maryland Wineries Association; Meta Platforms, Inc.; Pharmaceutical Care Mgmt. Assoc.; Pepco Holdings; Premium Cigar Retailers Association of MD; Real Time Medical Systems; Sheppard Pratt Health Systems; Story of Maryland; UPMC Western Maryland; Washinton Area New Auto Dealers; Waste Management; Xcaliber"
E001246,"Zwerling, Samantha C",Maryland State Education Association,Maryland State Education Association,01/08/25,7701.72,General Assembly,Maryland State Education Association
